From	To
ENSP00000295522	CLD1_HUMAN
ENSP00000295542	DCST1_HUMAN
ENSP00000295550	CO6A3_HUMAN
ENSP00000295566	YYAP1_HUMAN
ENSP00000295568	KBTB8_HUMAN
ENSP00000295569	F19A4_HUMAN
ENSP00000295571	EOGT_HUMAN
ENSP00000295588	PGLT1_HUMAN
ENSP00000295589	CCKAR_HUMAN
ENSP00000295598	AT1A1_HUMAN
ENSP00000295600	MITF_HUMAN
ENSP00000295619	PROK2_HUMAN
ENSP00000295622	CC030_HUMAN
ENSP00000295624	NAV1_HUMAN
ENSP00000295628	LRC58_HUMAN
ENSP00000295633	FSTL1_HUMAN
ENSP00000295640	AMPB_HUMAN
ENSP00000295641	S11IP_HUMAN
ENSP00000295645	PDCL2_HUMAN
ENSP00000295658	TM169_HUMAN
ENSP00000295666	IBP7_HUMAN
ENSP00000295682	KTAP2_HUMAN
ENSP00000295683	CXCR1_HUMAN
ENSP00000295685	ARPC2_HUMAN
ENSP00000295694	TMM79_HUMAN
ENSP00000295702	SSRB_HUMAN
ENSP00000295704	RNF25_HUMAN
ENSP00000295709	STK36_HUMAN
ENSP00000295718	PTPRN_HUMAN
ENSP00000295727	FEV_HUMAN
ENSP00000295728	CRBA2_HUMAN
ENSP00000295731	IHH_HUMAN
ENSP00000295736	S4A7_HUMAN
ENSP00000295743	EOMES_HUMAN
ENSP00000295746	CIP2A_HUMAN
ENSP00000295755	RETNB_HUMAN
ENSP00000295756	TRAT1_HUMAN
ENSP00000295757	HDA11_HUMAN
ENSP00000295759	GLB1L_HUMAN
ENSP00000295767	MIA40_HUMAN
ENSP00000295770	STT3B_HUMAN
ENSP00000295777	NEUS_HUMAN
ENSP00000295797	KPCI_HUMAN
ENSP00000295802	RETST_HUMAN
ENSP00000295822	IF5A2_HUMAN
ENSP00000295824	EFHB_HUMAN
ENSP00000295834	FABPL_HUMAN
ENSP00000295862	PP4R2_HUMAN
ENSP00000295868	WDR52_HUMAN
ENSP00000295872	SPICE_HUMAN
ENSP00000295878	K1407_HUMAN
ENSP00000295886	NKX61_HUMAN
ENSP00000295887	CDS1_HUMAN
ENSP00000295888	WDFY3_HUMAN
ENSP00000295890	COX18_HUMAN
ENSP00000295896	CC049_HUMAN
ENSP00000295897	ALBU_HUMAN
ENSP00000295898	CD036_HUMAN
ENSP00000295899	THOC7_HUMAN
ENSP00000295901	PSMD6_HUMAN
ENSP00000295902	PRIC2_HUMAN
ENSP00000295910	F194A_HUMAN
ENSP00000295924	PARPT_HUMAN
ENSP00000295926	CCNL1_HUMAN
ENSP00000295927	PTX3_HUMAN
ENSP00000295930	RSRC1_HUMAN
ENSP00000295934	HESX1_HUMAN
ENSP00000295937	DYH12_HUMAN
ENSP00000295951	SLMAP_HUMAN
ENSP00000295956	FLNB_HUMAN
ENSP00000295958	SIM14_HUMAN
ENSP00000295959	RPP14_HUMAN
ENSP00000295962	ABHD6_HUMAN
ENSP00000295966	CC067_HUMAN
ENSP00000295971	RBM47_HUMAN
ENSP00000295974	APBB2_HUMAN
ENSP00000295980	I17RE_HUMAN
ENSP00000295981	I17RC_HUMAN
ENSP00000295984	PRRT3_HUMAN
ENSP00000295987	SYN1_HUMAN
ENSP00000295989	CAND2_HUMAN
ENSP00000295992	PCOC2_HUMAN
ENSP00000296003	MTMRE_HUMAN
ENSP00000296015	TTC14_HUMAN
ENSP00000296026	CXCL3_HUMAN
ENSP00000296027	CXCL5_HUMAN
ENSP00000296028	CXCL7_HUMAN
ENSP00000296029	PLF4_HUMAN
ENSP00000296043	SHRM3_HUMAN
ENSP00000296046	CBPA3_HUMAN
ENSP00000296051	HPS3_HUMAN
ENSP00000296059	T4S18_HUMAN
ENSP00000296084	RYK_HUMAN
ENSP00000296088	SNRK_HUMAN
ENSP00000296091	ZN502_HUMAN
ENSP00000296096	TCF23_HUMAN
ENSP00000296097	DNJ5G_HUMAN
ENSP00000296098	TRI54_HUMAN
ENSP00000296099	UCN1_HUMAN
ENSP00000296102	RM33_HUMAN
ENSP00000296121	K1143_HUMAN
ENSP00000296122	PP1B_HUMAN
ENSP00000296125	TGM4_HUMAN
ENSP00000296129	CDCP1_HUMAN
ENSP00000296130	TETN_HUMAN
ENSP00000296135	LZTL1_HUMAN
ENSP00000296137	FYCO1_HUMAN
ENSP00000296140	CCR1_HUMAN
ENSP00000296142	RTP3_HUMAN
ENSP00000296144	LRRC2_HUMAN
ENSP00000296145	TDGF1_HUMAN
ENSP00000296149	ELP6_HUMAN
ENSP00000296154	CASR_HUMAN
ENSP00000296161	DTX3L_HUMAN
ENSP00000296181	ITB5_HUMAN
ENSP00000296215	SNIP1_HUMAN
ENSP00000296218	IDLC_HUMAN
ENSP00000296220	OSB11_HUMAN
ENSP00000296223	RPAB3_HUMAN
ENSP00000296233	KLF15_HUMAN
ENSP00000296238	CK2N2_HUMAN
ENSP00000296252	LIPH_HUMAN
ENSP00000296255	RPN1_HUMAN
ENSP00000296257	SENP2_HUMAN
ENSP00000296266	IF122_HUMAN
ENSP00000296270	CC065_HUMAN
ENSP00000296271	OPSD_HUMAN
ENSP00000296273	RFC4_HUMAN
ENSP00000296277	RL39L_HUMAN
ENSP00000296280	MASP1_HUMAN
ENSP00000296292	RFT1_HUMAN
ENSP00000296318	I17RD_HUMAN
ENSP00000296326	ZDH19_HUMAN
ENSP00000296327	OSTA_HUMAN
ENSP00000296328	UBXN7_HUMAN
ENSP00000296343	RUBIC_HUMAN
ENSP00000296350	TRFM_HUMAN
ENSP00000296358	OTOP1_HUMAN
ENSP00000296370	S100P_HUMAN
ENSP00000296380	EXO5_HUMAN
ENSP00000296387	CLD19_HUMAN
ENSP00000296388	P3H1_HUMAN
ENSP00000296411	MAP11_HUMAN
ENSP00000296412	ADHX_HUMAN
ENSP00000296414	J3KNB3_HUMAN
ENSP00000296417	H2AZ_HUMAN
ENSP00000296420	MUCEN_HUMAN
ENSP00000296422	SL9B1_HUMAN
ENSP00000296424	BDH2_HUMAN
ENSP00000296435	J3KNB4_HUMAN
ENSP00000296438	FBW12_HUMAN
ENSP00000296440	PLXB1_HUMAN
ENSP00000296444	SHSA5_HUMAN
ENSP00000296449	CCD36_HUMAN
ENSP00000296452	BSN_HUMAN
ENSP00000296456	ACPH_HUMAN
ENSP00000296464	HS74L_HUMAN
ENSP00000296468	MFSD8_HUMAN
ENSP00000296474	RON_HUMAN
ENSP00000296483	DUS7_HUMAN
ENSP00000296484	POC1A_HUMAN
ENSP00000296486	AT2L1_HUMAN
ENSP00000296490	WDR82_HUMAN
ENSP00000296498	NETR_HUMAN
ENSP00000296499	NDST3_HUMAN
ENSP00000296503	HMGB2_HUMAN
ENSP00000296504	SAP30_HUMAN
ENSP00000296506	SCRG1_HUMAN
ENSP00000296509	MD2L1_HUMAN
ENSP00000296511	ANXA5_HUMAN
ENSP00000296513	ADAD1_HUMAN
ENSP00000296518	GCYA3_HUMAN
ENSP00000296522	PGDH_HUMAN
ENSP00000296525	ASB5_HUMAN
ENSP00000296529	TM144_HUMAN
ENSP00000296543	NAA15_HUMAN
ENSP00000296545	IL15_HUMAN
ENSP00000296550	DCLK2_HUMAN
ENSP00000296557	ARFP1_HUMAN
ENSP00000296564	K0947_HUMAN
ENSP00000296575	HHIP_HUMAN
ENSP00000296577	ABCE1_HUMAN
ENSP00000296581	LSM6_HUMAN
ENSP00000296582	T184C_HUMAN
ENSP00000296585	ITA2_HUMAN
ENSP00000296589	S45A2_HUMAN
ENSP00000296591	EDIL3_HUMAN
ENSP00000296595	T161B_HUMAN
ENSP00000296597	MIMIT_HUMAN
ENSP00000296600	ZN474_HUMAN
ENSP00000296603	LMBD2_HUMAN
ENSP00000296604	RNB3L_HUMAN
ENSP00000296632	STAR4_HUMAN
ENSP00000296641	PAR3_HUMAN
ENSP00000296657	AN33B_HUMAN
ENSP00000296658	CMBL_HUMAN
ENSP00000296666	PRRC1_HUMAN
ENSP00000296674	RS23_HUMAN
ENSP00000296677	PAR2_HUMAN
ENSP00000296679	WDR41_HUMAN
ENSP00000296682	PRDM9_HUMAN
ENSP00000296684	NDUS4_HUMAN
ENSP00000296694	SG3A2_HUMAN
ENSP00000296695	ISK1_HUMAN
ENSP00000296702	TCRG1_HUMAN
ENSP00000296721	AF1L1_HUMAN
ENSP00000296733	CD20B_HUMAN
ENSP00000296734	J3KNB5_HUMAN
ENSP00000296736	TIGD6_HUMAN
ENSP00000296741	ENPP6_HUMAN
ENSP00000296742	CAGE1_HUMAN
ENSP00000296754	ERAP1_HUMAN
ENSP00000296755	MAP1B_HUMAN
ENSP00000296776	TM174_HUMAN
ENSP00000296777	CART_HUMAN
ENSP00000296783	GLD2_HUMAN
ENSP00000296785	ANRA2_HUMAN
ENSP00000296786	UBCP1_HUMAN
ENSP00000296792	UTP15_HUMAN
ENSP00000296794	ARG28_HUMAN
ENSP00000296795	TLR3_HUMAN
ENSP00000296802	NSA2_HUMAN
ENSP00000296805	RRF2M_HUMAN
ENSP00000296824	CC127_HUMAN
ENSP00000296839	FOXQ1_HUMAN
ENSP00000296847	CF195_HUMAN
ENSP00000296849	NKD2_HUMAN
ENSP00000296859	RPGF6_HUMAN
ENSP00000296861	TNR21_HUMAN
ENSP00000296869	ACSL6_HUMAN
ENSP00000296870	IL3_HUMAN
ENSP00000296871	CSF2_HUMAN
ENSP00000296875	GDF9_HUMAN
ENSP00000296877	LEAP2_HUMAN
ENSP00000296882	CXB7_HUMAN
ENSP00000296921	TLX3_HUMAN
ENSP00000296930	NPM_HUMAN
ENSP00000296946	BRAC_HUMAN
ENSP00000296953	CRERF_HUMAN
ENSP00000296955	DCBD1_HUMAN
ENSP00000296978	T200A_HUMAN
ENSP00000296980	I22R2_HUMAN
ENSP00000297001	CG072_HUMAN
ENSP00000297012	H2A1A_HUMAN
ENSP00000297029	ADSV_HUMAN
ENSP00000297044	CYH3_HUMAN
ENSP00000297056	DGLB_HUMAN
ENSP00000297063	K0895_HUMAN
ENSP00000297071	TRA2A_HUMAN
ENSP00000297107	GLT10_HUMAN
ENSP00000297109	SP30L_HUMAN
ENSP00000297130	MYOZ3_HUMAN
ENSP00000297135	COG5_HUMAN
ENSP00000297142	NDF6_HUMAN
ENSP00000297145	BMT2_HUMAN
ENSP00000297146	GPR85_HUMAN
ENSP00000297151	SLU7_HUMAN
ENSP00000297153	J3KNB7_HUMAN
ENSP00000297156	CAMLG_HUMAN
ENSP00000297157	RP9_HUMAN
ENSP00000297161	BMPER_HUMAN
ENSP00000297164	RELL2_HUMAN
ENSP00000297183	ANKH1_HUMAN
ENSP00000297185	GRP75_HUMAN
ENSP00000297186	R10B2_HUMAN
ENSP00000297195	S29A4_HUMAN
ENSP00000297203	CG062_HUMAN
ENSP00000297205	STEA1_HUMAN
ENSP00000297229	UBP49_HUMAN
ENSP00000297258	FABP5_HUMAN
ENSP00000297261	SHH_HUMAN
ENSP00000297265	CHM4C_HUMAN
ENSP00000297267	FNDC1_HUMAN
ENSP00000297268	CO1A2_HUMAN
ENSP00000297273	CASD1_HUMAN
ENSP00000297282	S13A4_HUMAN
ENSP00000297283	PGAM2_HUMAN
ENSP00000297290	BRI3_HUMAN
ENSP00000297293	LMTK2_HUMAN
ENSP00000297307	S35G3_HUMAN
ENSP00000297313	RGS20_HUMAN
ENSP00000297316	SOX17_HUMAN
ENSP00000297323	ADCY1_HUMAN
ENSP00000297324	CH048_HUMAN
ENSP00000297325	SUN3_HUMAN
ENSP00000297338	RAD21_HUMAN
ENSP00000297347	MED30_HUMAN
ENSP00000297350	TR11B_HUMAN
ENSP00000297354	SBSPO_HUMAN
ENSP00000297373	PHKG1_HUMAN
ENSP00000297375	HME2_HUMAN
ENSP00000297404	KCNV1_HUMAN
ENSP00000297405	CSMD3_HUMAN
ENSP00000297423	SPIDR_HUMAN
ENSP00000297431	ORC5_HUMAN
ENSP00000297435	DEF4_HUMAN
ENSP00000297436	DEF6_HUMAN
ENSP00000297439	DEFB1_HUMAN
ENSP00000297440	HEAT2_HUMAN
ENSP00000297450	ANGP1_HUMAN
ENSP00000297459	TMM74_HUMAN
ENSP00000297468	GP146_HUMAN
ENSP00000297469	GPER1_HUMAN
ENSP00000297477	T184A_HUMAN
ENSP00000297494	NOS3_HUMAN
ENSP00000297508	MILK2_HUMAN
ENSP00000297512	ASIC3_HUMAN
ENSP00000297518	CDK5_HUMAN
ENSP00000297524	S7A13_HUMAN
ENSP00000297532	FASTK_HUMAN
ENSP00000297533	TMUB1_HUMAN
ENSP00000297534	CG055_HUMAN
ENSP00000297537	GBX1_HUMAN
ENSP00000297540	PHAX_HUMAN
ENSP00000297562	AP5Z1_HUMAN
ENSP00000297564	COX6C_HUMAN
ENSP00000297565	OSR2_HUMAN
ENSP00000297578	MFTC_HUMAN
ENSP00000297579	DCA13_HUMAN
ENSP00000297581	DCSTP_HUMAN
ENSP00000297591	VIR_HUMAN
ENSP00000297596	GEM_HUMAN
ENSP00000297598	PDP1_HUMAN
ENSP00000297613	RP25L_HUMAN
ENSP00000297620	F219A_HUMAN
ENSP00000297623	SMRP1_HUMAN
ENSP00000297625	K1161_HUMAN
ENSP00000297632	TMM65_HUMAN
ENSP00000297661	UBAP1_HUMAN
ENSP00000297668	CNTP3_HUMAN
ENSP00000297679	3BHS7_HUMAN
ENSP00000297689	NFIL3_HUMAN
ENSP00000297720	LETM2_HUMAN
ENSP00000297737	ZMAT4_HUMAN
ENSP00000297767	PRS37_HUMAN
ENSP00000297770	CBPA6_HUMAN
ENSP00000297784	TMC1_HUMAN
ENSP00000297785	AL1A1_HUMAN
ENSP00000297788	CC136_HUMAN
ENSP00000297792	KDM1B_HUMAN
ENSP00000297814	KIF27_HUMAN
ENSP00000297819	SSMM1_HUMAN
ENSP00000297837	ANKS6_HUMAN
ENSP00000297848	COEA1_HUMAN
ENSP00000297857	ZHX1_HUMAN
ENSP00000297866	CX022_HUMAN
ENSP00000297873	WBS27_HUMAN
ENSP00000297875	SYTL5_HUMAN
ENSP00000297904	VEGFD_HUMAN
ENSP00000297908	RRFM_HUMAN
ENSP00000297913	OR1Q1_HUMAN
ENSP00000297954	WNK2_HUMAN
ENSP00000297977	HDX_HUMAN
ENSP00000297979	AMPO_HUMAN
ENSP00000297988	AQP7_HUMAN
ENSP00000297990	NOL6_HUMAN
ENSP00000297991	AQP3_HUMAN
ENSP00000297994	TM10B_HUMAN
ENSP00000298032	ARMC3_HUMAN
ENSP00000298048	MELK_HUMAN
ENSP00000298050	DEUP1_HUMAN
ENSP00000298068	HECD2_HUMAN
ENSP00000298085	CTR3_HUMAN
ENSP00000298090	F122B_HUMAN
ENSP00000298097	FBX33_HUMAN
ENSP00000298110	GP101_HUMAN
ENSP00000298119	LRFN5_HUMAN
ENSP00000298124	LRC18_HUMAN
ENSP00000298125	WDFY2_HUMAN
ENSP00000298130	SPTSA_HUMAN
ENSP00000298139	WRN_HUMAN
ENSP00000298159	COF2_HUMAN
ENSP00000298171	F5GYU5_HUMAN
ENSP00000298173	J3KNC0_HUMAN
ENSP00000298181	SSX7_HUMAN
ENSP00000298198	PGM2L_HUMAN
ENSP00000298223	FOLR2_HUMAN
ENSP00000298229	SHIP2_HUMAN
ENSP00000298231	PHX2A_HUMAN
ENSP00000298248	CRYL1_HUMAN
ENSP00000298251	HECAM_HUMAN
ENSP00000298281	PCF11_HUMAN
ENSP00000298282	PKNX2_HUMAN
ENSP00000298283	RL10L_HUMAN
ENSP00000298288	LLR1_HUMAN
ENSP00000298292	KTU_HUMAN
ENSP00000298295	DEPP_HUMAN
ENSP00000298296	MAGC3_HUMAN
ENSP00000298298	CJ025_HUMAN
ENSP00000298299	ZNF22_HUMAN
ENSP00000298307	KLDC2_HUMAN
ENSP00000298310	NEMF_HUMAN
ENSP00000298316	ARF6_HUMAN
ENSP00000298317	RUSD4_HUMAN
ENSP00000298351	TM63C_HUMAN
ENSP00000298352	NGB_HUMAN
ENSP00000298355	TRIM9_HUMAN
ENSP00000298375	AKCL2_HUMAN
ENSP00000298386	RXFP2_HUMAN
ENSP00000298396	SSX3_HUMAN
ENSP00000298406	J3KNC2_HUMAN
ENSP00000298428	S61A2_HUMAN
ENSP00000298440	OXGR1_HUMAN
ENSP00000298472	VMAT2_HUMAN
ENSP00000298480	KCNT1_HUMAN
ENSP00000298492	F175B_HUMAN
ENSP00000298510	PRDX3_HUMAN
ENSP00000298527	CLC1B_HUMAN
ENSP00000298530	TM52B_HUMAN
ENSP00000298532	SNPC4_HUMAN
ENSP00000298542	FRMD7_HUMAN
ENSP00000298545	KAD8_HUMAN
ENSP00000298546	CI009_HUMAN
ENSP00000298552	TSC1_HUMAN
ENSP00000298556	HPRT_HUMAN
ENSP00000298569	P33MX_HUMAN
ENSP00000298585	ZMY19_HUMAN
ENSP00000298596	STOX1_HUMAN
ENSP00000298622	JKIP3_HUMAN
ENSP00000298630	ST32C_HUMAN
ENSP00000298642	OR4K2_HUMAN
ENSP00000298681	S39A2_HUMAN
ENSP00000298687	NDRG2_HUMAN
ENSP00000298690	RNAS7_HUMAN
ENSP00000298694	ARH40_HUMAN
ENSP00000298699	CL050_HUMAN
ENSP00000298705	PPR36_HUMAN
ENSP00000298717	MTA70_HUMAN
ENSP00000298738	F194B_HUMAN
ENSP00000298743	GAS1_HUMAN
ENSP00000298746	TRUB1_HUMAN
ENSP00000298767	WAPL_HUMAN
ENSP00000298772	TRI13_HUMAN
ENSP00000298784	FA35A_HUMAN
ENSP00000298815	RHG42_HUMAN
ENSP00000298818	J3QSS7_HUMAN
ENSP00000298820	H7BXL6_HUMAN
ENSP00000298832	TTLL5_HUMAN
ENSP00000298838	PACN3_HUMAN
ENSP00000298841	KAIN_HUMAN
ENSP00000298852	PRS6A_HUMAN
ENSP00000298854	RAPSN_HUMAN
ENSP00000298861	CBPC2_HUMAN
ENSP00000298875	CPSF2_HUMAN
ENSP00000298877	NCKX4_HUMAN
ENSP00000298894	MOAP1_HUMAN
ENSP00000298902	IFI27_HUMAN
ENSP00000298910	LRRK2_HUMAN
ENSP00000298912	CLMN_HUMAN
ENSP00000298919	PZRN4_HUMAN
ENSP00000298923	J3KNC4_HUMAN
ENSP00000298925	J3KNC5_HUMAN
ENSP00000298937	ELP4_HUMAN
ENSP00000298942	PTER_HUMAN
ENSP00000298943	C1QL3_HUMAN
ENSP00000298953	I3L078_HUMAN
ENSP00000298966	SMCO4_HUMAN
ENSP00000298974	MAGA9_HUMAN
ENSP00000298992	ABTB2_HUMAN
ENSP00000298999	R3HCL_HUMAN
ENSP00000299001	PIWL4_HUMAN
ENSP00000299022	LIPC_HUMAN
ENSP00000299045	T11L2_HUMAN
ENSP00000299084	SPRE1_HUMAN
ENSP00000299088	CN093_HUMAN
ENSP00000299092	J3KNC6_HUMAN
ENSP00000299106	JAM3_HUMAN
ENSP00000299134	SVOP_HUMAN
ENSP00000299138	VPS35_HUMAN
ENSP00000299140	SPT19_HUMAN
ENSP00000299155	AMNLS_HUMAN
ENSP00000299157	IKIP_HUMAN
ENSP00000299162	FOXN4_HUMAN
ENSP00000299163	HIF1N_HUMAN
ENSP00000299164	ATS15_HUMAN
ENSP00000299166	NDUB8_HUMAN
ENSP00000299178	V1AR_HUMAN
ENSP00000299191	CP078_HUMAN
ENSP00000299192	HEAT3_HUMAN
ENSP00000299194	LRTM2_HUMAN
ENSP00000299198	KCRB_HUMAN
ENSP00000299206	DPOLL_HUMAN
ENSP00000299213	LARP6_HUMAN
ENSP00000299237	ZN319_HUMAN
ENSP00000299238	HPS6_HUMAN
ENSP00000299259	CSN2_HUMAN
ENSP00000299267	GBRB3_HUMAN
ENSP00000299272	SPIC_HUMAN
ENSP00000299275	PKHA5_HUMAN
ENSP00000299290	TBATA_HUMAN
ENSP00000299293	FRS2_HUMAN
ENSP00000299295	CHODL_HUMAN
ENSP00000299299	PHS_HUMAN
ENSP00000299300	TCPB_HUMAN
ENSP00000299308	T132B_HUMAN
ENSP00000299314	GNPTA_HUMAN
ENSP00000299320	CP071_HUMAN
ENSP00000299328	TAZ_HUMAN
ENSP00000299333	SCN3B_HUMAN
ENSP00000299335	COX11_HUMAN
ENSP00000299338	F227B_HUMAN
ENSP00000299339	CLD10_HUMAN
ENSP00000299340	CYYR1_HUMAN
ENSP00000299367	CO2_HUMAN
ENSP00000299381	APC16_HUMAN
ENSP00000299402	APBB1_HUMAN
ENSP00000299413	TRI44_HUMAN
ENSP00000299421	ILK_HUMAN
ENSP00000299424	TAF10_HUMAN
ENSP00000299427	TPP1_HUMAN
ENSP00000299432	MSS51_HUMAN
ENSP00000299440	RAG1_HUMAN
ENSP00000299441	PCD16_HUMAN
ENSP00000299443	POTED_HUMAN
ENSP00000299454	O10A5_HUMAN
ENSP00000299459	OR2D2_HUMAN
ENSP00000299481	NAL14_HUMAN
ENSP00000299492	LIPB2_HUMAN
ENSP00000299498	NB5R2_HUMAN
ENSP00000299502	PAI2_HUMAN
ENSP00000299505	K0355_HUMAN
ENSP00000299518	IDH3A_HUMAN
ENSP00000299529	RABP1_HUMAN
ENSP00000299543	CTDP1_HUMAN
ENSP00000299550	TRI66_HUMAN
ENSP00000299563	RN169_HUMAN
ENSP00000299565	ACHA5_HUMAN
ENSP00000299575	ATMIN_HUMAN
ENSP00000299578	CP046_HUMAN
ENSP00000299596	TM41B_HUMAN
ENSP00000299601	LEO1_HUMAN
ENSP00000299608	TMX3_HUMAN
ENSP00000299610	MFAP4_HUMAN
ENSP00000299626	ALG8_HUMAN
ENSP00000299641	J3KNC8_HUMAN
ENSP00000299642	J3KNC9_HUMAN
ENSP00000299663	CLC4E_HUMAN
ENSP00000299665	CLC4D_HUMAN
ENSP00000299667	ZNF3_HUMAN
ENSP00000299687	ZN407_HUMAN
ENSP00000299694	BEAN1_HUMAN
ENSP00000299697	E5KNQ5_HUMAN
ENSP00000299698	A2ML1_HUMAN
ENSP00000299705	TMED3_HUMAN
ENSP00000299709	S38A8_HUMAN
ENSP00000299721	CPLX4_HUMAN
ENSP00000299727	GALR1_HUMAN
ENSP00000299732	IQCD_HUMAN
ENSP00000299736	CENPV_HUMAN
ENSP00000299752	CAD16_HUMAN
ENSP00000299759	RAD_HUMAN
ENSP00000299766	MC4R_HUMAN
ENSP00000299767	ENPL_HUMAN
ENSP00000299798	SL9A5_HUMAN
ENSP00000299824	PP16B_HUMAN
ENSP00000299847	CRFM7_HUMAN
ENSP00000299853	RPC5_HUMAN
ENSP00000299855	MMP3_HUMAN
ENSP00000299860	ZN419_HUMAN
ENSP00000299866	TV23A_HUMAN
ENSP00000299882	TMPS5_HUMAN
ENSP00000299886	COG1_HUMAN
ENSP00000299927	ZN592_HUMAN
ENSP00000299952	MALD3_HUMAN
ENSP00000299957	CASC4_HUMAN
ENSP00000299964	NNMT_HUMAN
ENSP00000299977	SLFN5_HUMAN
ENSP00000300006	CP045_HUMAN
ENSP00000300013	J3KND1_HUMAN
ENSP00000300022	YPEL4_HUMAN
ENSP00000300026	PPIB_HUMAN
ENSP00000300030	FA96A_HUMAN
ENSP00000300035	PAF15_HUMAN
ENSP00000300051	LDHD_HUMAN
ENSP00000300055	PLIN1_HUMAN
ENSP00000300056	PX11A_HUMAN
ENSP00000300057	MESP1_HUMAN
ENSP00000300060	AMPN_HUMAN
ENSP00000300061	SCNNG_HUMAN
ENSP00000300069	RBPS2_HUMAN
ENSP00000300079	GLYL1_HUMAN
ENSP00000300086	TE2IP_HUMAN
ENSP00000300087	DCTN5_HUMAN
ENSP00000300091	LAS2_HUMAN
ENSP00000300093	PLK1_HUMAN
ENSP00000300098	GP182_HUMAN
ENSP00000300101	ZBT39_HUMAN
ENSP00000300105	CCG2_HUMAN
ENSP00000300107	CLPX_HUMAN
ENSP00000300108	TKNK_HUMAN
ENSP00000300113	CHP2_HUMAN
ENSP00000300119	MYO1A_HUMAN
ENSP00000300127	OR4D6_HUMAN
ENSP00000300128	T194A_HUMAN
ENSP00000300131	NAB2_HUMAN
ENSP00000300134	STAT6_HUMAN
ENSP00000300145	ATP23_HUMAN
ENSP00000300146	PATL1_HUMAN
ENSP00000300151	RM16_HUMAN
ENSP00000300161	1433B_HUMAN
ENSP00000300175	7B2_HUMAN
ENSP00000300176	AGFG2_HUMAN
ENSP00000300177	GREM1_HUMAN
ENSP00000300179	NYAP1_HUMAN
ENSP00000300181	T22D4_HUMAN
ENSP00000300182	M4A6E_HUMAN
ENSP00000300184	MS4A7_HUMAN
ENSP00000300187	M4A14_HUMAN
ENSP00000300190	MS4A5_HUMAN
ENSP00000300209	MT21B_HUMAN
ENSP00000300213	CCDB1_HUMAN
ENSP00000300215	EPB42_HUMAN
ENSP00000300226	M4A8_HUMAN
ENSP00000300231	MAP1A_HUMAN
ENSP00000300245	AKTIP_HUMAN
ENSP00000300249	MARE2_HUMAN
ENSP00000300255	EVA1C_HUMAN
ENSP00000300258	TCP1L_HUMAN
ENSP00000300283	KCRU_HUMAN
ENSP00000300289	PDIA3_HUMAN
ENSP00000300291	CPSF5_HUMAN
ENSP00000300302	HERP1_HUMAN
ENSP00000300303	NAT16_HUMAN
ENSP00000300305	RUNX1_HUMAN
ENSP00000300399	BPIFC_HUMAN
ENSP00000300403	TPX2_HUMAN
ENSP00000300404	B4GN2_HUMAN
ENSP00000300406	GBGT2_HUMAN
ENSP00000300408	PHB_HUMAN
ENSP00000300413	SMD1_HUMAN
ENSP00000300417	LRSM1_HUMAN
ENSP00000300433	TMM92_HUMAN
ENSP00000300441	ACSF2_HUMAN
ENSP00000300452	COQ4_HUMAN
ENSP00000300456	S27A4_HUMAN
ENSP00000300482	TRPM2_HUMAN
ENSP00000300504	TBC21_HUMAN
ENSP00000300515	GG6L9_HUMAN
ENSP00000300527	CO6A2_HUMAN
ENSP00000300557	PR15L_HUMAN
ENSP00000300571	GPC5B_HUMAN
ENSP00000300574	CRK_HUMAN
ENSP00000300575	CP092_HUMAN
ENSP00000300576	GOG6C_HUMAN
ENSP00000300584	TBD2B_HUMAN
ENSP00000300589	NOD2_HUMAN
ENSP00000300591	LOXH1_HUMAN
ENSP00000300605	HDHD2_HUMAN
ENSP00000300618	CQ078_HUMAN
ENSP00000300619	ZNF91_HUMAN
ENSP00000300648	GCN1L_HUMAN
ENSP00000300650	RN214_HUMAN
ENSP00000300651	MED1_HUMAN
ENSP00000300658	PGAP3_HUMAN
ENSP00000300659	NFAC3_HUMAN
ENSP00000300682	J9JID0_HUMAN
ENSP00000300688	ATP5L_HUMAN
ENSP00000300692	CD3D_HUMAN
ENSP00000300714	AP4AT_HUMAN
ENSP00000300737	STIM1_HUMAN
ENSP00000300738	RIR1_HUMAN
ENSP00000300747	TRI68_HUMAN
ENSP00000300762	MMP26_HUMAN
ENSP00000300773	O51B5_HUMAN
ENSP00000300778	O51Q1_HUMAN
ENSP00000300784	FN3K_HUMAN
ENSP00000300811	ZN428_HUMAN
ENSP00000300835	PRR14_HUMAN
ENSP00000300843	MARK4_HUMAN
ENSP00000300849	ZN668_HUMAN
ENSP00000300850	ZN646_HUMAN
ENSP00000300870	ZN267_HUMAN
ENSP00000300873	GBG8_HUMAN
ENSP00000300896	UBP32_HUMAN
ENSP00000300900	CAH4_HUMAN
ENSP00000300917	SMG8_HUMAN
ENSP00000300935	RAB8A_HUMAN
ENSP00000300952	MIDN_HUMAN
ENSP00000300954	PCSK4_HUMAN
ENSP00000300961	JSPR1_HUMAN
ENSP00000300976	KLH26_HUMAN
ENSP00000301011	ZCH18_HUMAN
ENSP00000301012	MVD1_HUMAN
ENSP00000301015	PIEZ1_HUMAN
ENSP00000301019	CDT1_HUMAN
ENSP00000301021	TPC2L_HUMAN
ENSP00000301030	ANR11_HUMAN
ENSP00000301031	SPT33_HUMAN
ENSP00000301037	L7N484_HUMAN
ENSP00000301039	PRCA1_HUMAN
