Ensembl Protein ID	Ensembl Gene ID	HGNC symbol
ENSP00000261609	ENSG00000128731	HERC2
ENSP00000261615	ENSG00000015413	DPEP1
ENSP00000261622	ENSG00000103257	SLC7A5
ENSP00000261623	ENSG00000051523	CYBA
ENSP00000261636	ENSG00000120805	ARL1
ENSP00000261637	ENSG00000120800	UTP20
ENSP00000261643	ENSG00000006695	COX10
ENSP00000261647	ENSG00000011295	TTC19
ENSP00000261652	ENSG00000240505	TNFRSF13B
ENSP00000261654	ENSG00000111452	GPR133
ENSP00000261655	ENSG00000060709	RIMBP2
ENSP00000261658	ENSG00000103429	BFAR
ENSP00000261660	ENSG00000103381	CPPED1
ENSP00000261667	ENSG00000102753	KPNA3
ENSP00000261669	ENSG00000102547	CAB39L
ENSP00000261674	ENSG00000061936	SFSWAP
ENSP00000261681	ENSG00000072415	MPP5
ENSP00000261683	ENSG00000089775	ZBTB25
ENSP00000261692	ENSG00000111328	CDK2AP1
ENSP00000261693	ENSG00000073060	SCARB1
ENSP00000261700	ENSG00000087302	C14orf166
ENSP00000261707	ENSG00000108576	SLC6A4
ENSP00000261708	ENSG00000108651	UTP6
ENSP00000261712	ENSG00000108671	PSMD11
ENSP00000261713	ENSG00000006042	TMEM98
ENSP00000261714	ENSG00000108578	BLMH
ENSP00000261716	ENSG00000160551	TAOK1
ENSP00000261721	ENSG00000064726	BTBD1
ENSP00000261722	ENSG00000103723	AP3B2
ENSP00000261726	ENSG00000111249	CUX2
ENSP00000261729	ENSG00000111344	RASAL1
ENSP00000261731	ENSG00000089116	LHX5
ENSP00000261733	ENSG00000111275	ALDH2
ENSP00000261735	ENSG00000089248	ERP29
ENSP00000261739	ENSG00000076513	ANKRD13A
ENSP00000261740	ENSG00000111199	TRPV4
ENSP00000261741	ENSG00000122965	RBM19
ENSP00000261745	ENSG00000111300	NAA25
ENSP00000261749	ENSG00000086666	ZFAND6
ENSP00000261751	ENSG00000117971	CHRNB4
ENSP00000261755	ENSG00000103876	FAH
ENSP00000261758	ENSG00000117899	MESDC2
ENSP00000261769	ENSG00000039068	CDH1
ENSP00000261772	ENSG00000090861	AARS
ENSP00000261776	ENSG00000103043	VAC14
ENSP00000261778	ENSG00000103047	TMCO7
ENSP00000261783	ENSG00000081181	ARG2
ENSP00000261789	ENSG00000100926	TM9SF1
ENSP00000261796	ENSG00000127743	IL17B
ENSP00000261797	ENSG00000070614	NDST1
ENSP00000261798	ENSG00000113712	CSNK1A1
ENSP00000261799	ENSG00000113721	PDGFRB
ENSP00000261800	ENSG00000086570	FAT2
ENSP00000261811	ENSG00000120306	C5orf32
ENSP00000261813	ENSG00000113068	PFDN1
ENSP00000261817	ENSG00000110801	PSMD9
ENSP00000261819	ENSG00000089053	ANAPC5
ENSP00000261822	ENSG00000110987	BCL7A
ENSP00000261826	ENSG00000089041	P2RX7
ENSP00000261833	ENSG00000122966	CIT
ENSP00000261835	ENSG00000036530	CYP46A1
ENSP00000261837	ENSG00000069966	GNB5
ENSP00000261839	ENSG00000128833	MYO5C
ENSP00000261842	ENSG00000081014	AP4E1
ENSP00000261844	ENSG00000047346	KIAA1370
ENSP00000261845	ENSG00000069956	MAPK6
ENSP00000261847	ENSG00000138593	SECISBP2L
ENSP00000261854	ENSG00000138600	
ENSP00000261858	ENSG00000138604	GLCE
ENSP00000261861	ENSG00000103647	CORO2B
ENSP00000261862	ENSG00000187720	THSD4
ENSP00000261866	ENSG00000104133	SPG11
ENSP00000261867	ENSG00000104154	SLC30A4
ENSP00000261868	ENSG00000104131	EIF3J
ENSP00000261875	ENSG00000074696	PTPLAD1
ENSP00000261879	ENSG00000138613	APH1B
ENSP00000261880	ENSG00000103591	AAGAB
ENSP00000261881	ENSG00000075131	TIPIN
ENSP00000261883	ENSG00000138615	CILP
ENSP00000261884	ENSG00000103671	TRIP4
ENSP00000261888	ENSG00000138617	PARP16
ENSP00000261890	ENSG00000103769	RAB11A
ENSP00000261891	ENSG00000035664	DAPK2
ENSP00000261892	ENSG00000074621	SLC24A1
ENSP00000261893	ENSG00000103642	LACTB
ENSP00000261900	ENSG00000129315	CCNT1
ENSP00000261908	ENSG00000067141	NEO1
ENSP00000261917	ENSG00000138622	HCN4
ENSP00000261918	ENSG00000138623	SEMA7A
ENSP00000261921	ENSG00000129038	LOXL1
ENSP00000261937	ENSG00000037280	FLT4
ENSP00000261942	ENSG00000113194	FAF2
ENSP00000261944	ENSG00000074276	CDHR2
ENSP00000261947	ENSG00000113269	RNF130
ENSP00000261951	ENSG00000113300	CNOT6
ENSP00000261965	ENSG00000126216	TUBGCP3
ENSP00000261973	ENSG00000119707	RBM25
ENSP00000261978	ENSG00000119681	LTBP2
ENSP00000261980	ENSG00000119614	VSX2
ENSP00000261991	ENSG00000100784	RPS6KA5
ENSP00000261994	ENSG00000140093	SERPINA10
ENSP00000262013	ENSG00000008294	SPAG9
ENSP00000262017	ENSG00000259207	ITGB3
ENSP00000262018	ENSG00000108823	SGCA
ENSP00000262027	ENSG00000166986	MARS
ENSP00000262030	ENSG00000110955	ATP5B
ENSP00000262031	ENSG00000076067	RBMS2
ENSP00000262032	ENSG00000123411	IKZF4
ENSP00000262033	ENSG00000110958	PTGES3
ENSP00000262039	ENSG00000078142	PIK3C3
ENSP00000262041	ENSG00000106511	MEOX2
ENSP00000262043	ENSG00000118482	PHF3
ENSP00000262052	ENSG00000110911	SLC11A2
ENSP00000262053	ENSG00000123268	ATF1
ENSP00000262055	ENSG00000050426	LETMD1
ENSP00000262056	ENSG00000063046	EIF4B
ENSP00000262059	ENSG00000012822	CALCOCO1
ENSP00000262061	ENSG00000111481	COPZ1
ENSP00000262065	ENSG00000108960	MMD
ENSP00000262067	ENSG00000106537	TSPAN13
ENSP00000262074	ENSG00000103852	TTC23
ENSP00000262077	ENSG00000124789	NUP153
ENSP00000262085	ENSG00000170265	ZNF282
ENSP00000262094	ENSG00000041353	RAB27B
ENSP00000262095	ENSG00000119547	ONECUT2
ENSP00000262096	ENSG00000104219	ZDHHC2
ENSP00000262101	ENSG00000038945	MSR1
ENSP00000262102	ENSG00000129422	MTUS1
ENSP00000262103	ENSG00000034239	EFCAB1
ENSP00000262105	ENSG00000104738	MCM4
ENSP00000262109	ENSG00000104714	ERICH1
ENSP00000262113	ENSG00000036448	MYOM2
ENSP00000262120	ENSG00000128791	TWSG1
ENSP00000262126	ENSG00000101745	ANKRD12
ENSP00000262127	ENSG00000101624	CEP76
ENSP00000262133	ENSG00000103479	RBL2
ENSP00000262134	ENSG00000087253	LPCAT2
ENSP00000262138	ENSG00000075461	CACNG4
ENSP00000262139	ENSG00000070540	WIPI1
ENSP00000262144	ENSG00000103091	WDR59
ENSP00000262146	ENSG00000066855	MTFR1
ENSP00000262150	ENSG00000071991	CDH19
ENSP00000262158	ENSG00000101665	SMAD7
ENSP00000262160	ENSG00000175387	SMAD2
ENSP00000262173	ENSG00000101654	RNMT
ENSP00000262177	ENSG00000105993	DNAJB6
ENSP00000262178	ENSG00000106018	VIPR2
ENSP00000262186	ENSG00000055118	KCNH2
ENSP00000262187	ENSG00000106615	RHEB
ENSP00000262188	ENSG00000082014	SMARCD3
ENSP00000262189	ENSG00000055609	MLL3
ENSP00000262193	ENSG00000008018	PSMB1
ENSP00000262198	ENSG00000101544	ADNP2
ENSP00000262207	ENSG00000121005	CRISPLD1
ENSP00000262209	ENSG00000104321	TRPA1
ENSP00000262211	ENSG00000104205	SGK3
ENSP00000262213	ENSG00000067167	TRAM1
ENSP00000262215	ENSG00000066777	ARFGEF1
ENSP00000262219	ENSG00000104537	ANXA13
ENSP00000262225	ENSG00000086598	TMED2
ENSP00000262238	ENSG00000100811	YY1
ENSP00000262241	ENSG00000089902	RCOR1
ENSP00000262244	ENSG00000120162	MOB3B
ENSP00000262259	ENSG00000105497	ZNF175
ENSP00000262262	ENSG00000105383	CD33
ENSP00000262265	ENSG00000104872	PIH1D1
ENSP00000262288	ENSG00000121064	SCPEP1
ENSP00000262290	ENSG00000167419	LPO
ENSP00000262291	ENSG00000062716	VMP1
ENSP00000262293	ENSG00000068489	PRR11
ENSP00000262294	ENSG00000108395	TRIM37
ENSP00000262300	ENSG00000127564	PKMYT1
ENSP00000262301	ENSG00000103227	LMF1
ENSP00000262302	ENSG00000095906	NUBP2
ENSP00000262304	ENSG00000008710	PKD1
ENSP00000262305	ENSG00000090565	RAB11FIP3
ENSP00000262306	ENSG00000103363	TCEB2
ENSP00000262315	ENSG00000127586	CHTF18
ENSP00000262316	ENSG00000007384	RHBDF1
ENSP00000262319	ENSG00000100726	TELO2
ENSP00000262320	ENSG00000103126	AXIN1
ENSP00000262340	ENSG00000116745	RPE65
ENSP00000262345	ENSG00000081985	IL12RB2
ENSP00000262352	ENSG00000106688	SLC1A1
ENSP00000262365	ENSG00000145002	FAM86B2
ENSP00000262366	ENSG00000126603	GLIS2
ENSP00000262367	ENSG00000005339	CREBBP
ENSP00000262370	ENSG00000102858	MGRN1
ENSP00000262374	ENSG00000033011	ALG1
ENSP00000262375	ENSG00000103423	DNAJA3
ENSP00000262376	ENSG00000118900	UBN1
ENSP00000262383	ENSG00000102935	ZNF423
ENSP00000262384	ENSG00000102921	N4BP1
ENSP00000262394	ENSG00000109046	WSB1
ENSP00000262395	ENSG00000076604	TRAF4
ENSP00000262406	ENSG00000108370	RGS9
ENSP00000262407	ENSG00000005961	ITGA2B
ENSP00000262414	ENSG00000108883	EFTUD2
ENSP00000262415	ENSG00000067596	DHX8
ENSP00000262418	ENSG00000004939	SLC4A1
ENSP00000262419	ENSG00000120071	KIAA1267
ENSP00000262424	ENSG00000103196	CRISPLD2
ENSP00000262426	ENSG00000103241	FOXF1
ENSP00000262428	ENSG00000103187	COTL1
ENSP00000262429	ENSG00000064270	ATP2C2
ENSP00000262430	ENSG00000103150	MLYCD
ENSP00000262432	ENSG00000165055	METTL2B
ENSP00000262435	ENSG00000108854	SMURF2
ENSP00000262441	ENSG00000065325	GLP2R
ENSP00000262442	ENSG00000007174	DNAH9
ENSP00000262445	ENSG00000065559	MAP2K4
ENSP00000262450	ENSG00000116254	CHD5
ENSP00000262455	ENSG00000023318	ERP44
ENSP00000262457	ENSG00000119509	INVS
ENSP00000262460	ENSG00000101003	GINS1
ENSP00000262461	ENSG00000064651	SLC12A2
ENSP00000262462	ENSG00000113396	SLC27A6
ENSP00000262464	ENSG00000138829	FBN2
ENSP00000262477	ENSG00000029725	RABEP1
ENSP00000262482	ENSG00000108523	RNF167
ENSP00000262483	ENSG00000091622	PITPNM3
ENSP00000262487	ENSG00000101230	ISM1
ENSP00000262493	ENSG00000087258	GNAO1
ENSP00000262498	ENSG00000070761	C16orf80
ENSP00000262502	ENSG00000070915	SLC12A3
ENSP00000262506	ENSG00000070770	CSNK2A2
ENSP00000262507	ENSG00000088682	COQ9
ENSP00000262510	ENSG00000140853	NLRC5
ENSP00000262518	ENSG00000080603	SRCAP
ENSP00000262519	ENSG00000099381	SETD1A
ENSP00000262525	ENSG00000102870	ZNF629
ENSP00000262539	ENSG00000070159	PTPN3
ENSP00000262544	ENSG00000101310	SEC23B
ENSP00000262545	ENSG00000125851	PCSK2
ENSP00000262547	ENSG00000089091	DZANK1
ENSP00000262551	ENSG00000106809	OGN
ENSP00000262554	ENSG00000090054	SPTLC1
ENSP00000262570	ENSG00000106554	CHCHD3
ENSP00000262577	ENSG00000014164	ZC3H3
ENSP00000262580	ENSG00000104518	GSDMD
ENSP00000262584	ENSG00000161016	RPL8
ENSP00000262585	ENSG00000105339	DENND3
ENSP00000262593	ENSG00000101134	DOK5
ENSP00000262605	ENSG00000124120	TTPAL
ENSP00000262607	ENSG00000093072	CECR1
ENSP00000262608	ENSG00000099954	CECR2
ENSP00000262613	ENSG00000109062	SLC9A3R1
ENSP00000262622	ENSG00000124302	CHST8
ENSP00000262623	ENSG00000105675	ATP4A
ENSP00000262624	ENSG00000105695	MAG
ENSP00000262626	ENSG00000105707	HPN
ENSP00000262629	ENSG00000011600	TYROBP
ENSP00000262630	ENSG00000011590	ZBTB32
ENSP00000262633	ENSG00000126254	RBM42
ENSP00000262637	ENSG00000105261	
ENSP00000262643	ENSG00000105173	CCNE1
ENSP00000262644	ENSG00000104331	IMPAD1
ENSP00000262646	ENSG00000104388	RAB2A
ENSP00000262648	ENSG00000011201	KAL1
ENSP00000262653	ENSG00000078699	CBFA2T2
ENSP00000262659	ENSG00000101331	C20orf160
ENSP00000262662	ENSG00000123080	CDKN2C
ENSP00000262709	ENSG00000092203	TOX4
ENSP00000262710	ENSG00000100813	ACIN1
ENSP00000262713	ENSG00000129474	JUB
ENSP00000262715	ENSG00000129566	TEP1
ENSP00000262717	ENSG00000101542	CDH20
ENSP00000262726	ENSG00000186976	EFCAB6
ENSP00000262735	ENSG00000186951	PPARA
ENSP00000262738	ENSG00000075275	CELSR1
ENSP00000262741	ENSG00000117461	PIK3R3
ENSP00000262746	ENSG00000117450	PRDX1
ENSP00000262752	ENSG00000072133	RPS6KA6
ENSP00000262753	ENSG00000124429	POF1B
ENSP00000262764	ENSG00000087157	PGS1
ENSP00000262765	ENSG00000129646	QRICH2
ENSP00000262768	ENSG00000035862	TIMP2
ENSP00000262776	ENSG00000108679	LGALS3BP
ENSP00000262794	ENSG00000073146	MOV10L1
ENSP00000262803	ENSG00000005007	UPF1
ENSP00000262809	ENSG00000105656	ELL
ENSP00000262811	ENSG00000099308	MAST3
ENSP00000262812	ENSG00000105669	COPE
ENSP00000262817	ENSG00000105696	TMEM59L
ENSP00000262820	ENSG00000003096	KLHL13
ENSP00000262839	ENSG00000072315	TRPC5
ENSP00000262843	ENSG00000080561	MID2
ENSP00000262844	ENSG00000101935	AMMECR1
ENSP00000262848	ENSG00000183943	PRKX
ENSP00000262850	ENSG00000083750	RRAGB
ENSP00000262854	ENSG00000086758	HUWE1
ENSP00000262858	ENSG00000013619	MAMLD1
ENSP00000262861	ENSG00000116991	SIPA1L2
ENSP00000262865	ENSG00000101425	BPI
ENSP00000262866	ENSG00000101082	SLA2
ENSP00000262873	ENSG00000078814	MYH7B
ENSP00000262878	ENSG00000101347	SAMHD1
ENSP00000262879	ENSG00000170471	RALGAPB
ENSP00000262887	ENSG00000073050	XRCC1
ENSP00000262888	ENSG00000104783	KCNN4
ENSP00000262890	ENSG00000079462	PAFAH1B3
ENSP00000262894	ENSG00000256294	ZNF225
ENSP00000262895	ENSG00000105737	GRIK5
ENSP00000262901	ENSG00000112246	SIM1
ENSP00000262903	ENSG00000085382	HACE1
ENSP00000262904	ENSG00000112242	E2F3
ENSP00000262915	ENSG00000126091	ST3GAL3
ENSP00000262916	ENSG00000117013	KCNQ4
ENSP00000262919	ENSG00000088812	ATRN
ENSP00000262932	ENSG00000166997	CNPY4
ENSP00000262940	ENSG00000105808	RASA4
ENSP00000262942	ENSG00000241685	ARPC1A
ENSP00000262946	ENSG00000127540	UQCR11
ENSP00000262947	ENSG00000074842	C19orf10
ENSP00000262948	ENSG00000126934	MAP2K2
ENSP00000262953	ENSG00000065717	TLE2
ENSP00000262958	ENSG00000060558	GNA15
ENSP00000262960	ENSG00000142002	DPP9
ENSP00000262961	ENSG00000105278	ZFR2
ENSP00000262962	ENSG00000105248	CCDC94
ENSP00000262965	ENSG00000071564	TCF3
ENSP00000262966	ENSG00000008382	MPND
ENSP00000262968	ENSG00000105289	TJP3
ENSP00000262971	ENSG00000105229	PIAS4
ENSP00000262982	ENSG00000124207	CSE1L
ENSP00000262990	ENSG00000109445	ZNF330
ENSP00000262992	ENSG00000109452	INPP4B
ENSP00000262995	ENSG00000109458	GAB1
ENSP00000262999	ENSG00000109424	UCP1
ENSP00000263025	ENSG00000102882	MAPK3
ENSP00000263026	ENSG00000103319	EEF2K
ENSP00000263032	ENSG00000126952	NXF5
ENSP00000263033	ENSG00000102362	SYTL4
ENSP00000263035	ENSG00000181192	DHTKD1
ENSP00000263036	ENSG00000123240	OPTN
ENSP00000263038	ENSG00000107537	PHYH
ENSP00000263043	ENSG00000112144	ICK
ENSP00000263045	ENSG00000096006	CRISP3
ENSP00000263056	ENSG00000107968	MAP3K8
ENSP00000263062	ENSG00000120616	EPC1
ENSP00000263063	ENSG00000107951	MTPAP
ENSP00000263071	ENSG00000074660	SCARF1
ENSP00000263073	ENSG00000070366	SMG6
ENSP00000263080	ENSG00000108381	ASPA
ENSP00000263083	ENSG00000108963	DPH1
ENSP00000263084	ENSG00000214014	OVCA2
ENSP00000263087	ENSG00000083457	ITGAE
ENSP00000263088	ENSG00000129219	PLD2
ENSP00000263092	ENSG00000127804	METTL16
ENSP00000263093	ENSG00000083807	SLC27A5
ENSP00000263094	ENSG00000064687	ABCA7
ENSP00000263095	ENSG00000083844	ZNF264
ENSP00000263097	ENSG00000064666	CNN2
ENSP00000263100	ENSG00000121410	A1BG
ENSP00000263102	ENSG00000108091	CCDC6
ENSP00000263116	ENSG00000100228	RAB36
ENSP00000263119	ENSG00000099991	CABIN1
ENSP00000263121	ENSG00000099956	SMARCB1
ENSP00000263125	ENSG00000065675	PRKCQ
ENSP00000263126	ENSG00000198610	AKR1C4
ENSP00000263150	ENSG00000047056	WDR37
ENSP00000263160	ENSG00000091664	SLC17A6
ENSP00000263168	ENSG00000116489	CAPZA1
ENSP00000263174	ENSG00000099260	PALMD
ENSP00000263177	ENSG00000117598	
ENSP00000263181	ENSG00000121621	KIF18A
ENSP00000263182	ENSG00000129151	BBOX1
ENSP00000263187	ENSG00000057468	MSH4
ENSP00000263196	ENSG00000070413	DGCR2
ENSP00000263201	ENSG00000093009	CDC45
ENSP00000263202	ENSG00000070010	UFD1L
ENSP00000263205	ENSG00000099917	MED15
ENSP00000263207	ENSG00000099889	ARVCF
ENSP00000263208	ENSG00000100084	HIRA
ENSP00000263209	ENSG00000128191	DGCR8
ENSP00000263212	ENSG00000100034	PPM1F
ENSP00000263228	ENSG00000107341	UBE2R2
ENSP00000263233	ENSG00000102003	SYP
ENSP00000263238	ENSG00000115091	ACTR3
ENSP00000263239	ENSG00000088205	DDX18
ENSP00000263245	ENSG00000242247	ARFGAP3
ENSP00000263246	ENSG00000100266	PACSIN2
ENSP00000263253	ENSG00000100393	EP300
ENSP00000263256	ENSG00000100418	PPPDE2
ENSP00000263257	ENSG00000104967	NOVA2
ENSP00000263265	ENSG00000105559	PLEKHA4
ENSP00000263266	ENSG00000105523	FAM83E
ENSP00000263268	ENSG00000118242	MREG
ENSP00000263269	ENSG00000105464	GRIN2D
ENSP00000263270	ENSG00000042753	AP2S1
ENSP00000263273	ENSG00000104805	NUCB1
ENSP00000263274	ENSG00000105486	LIG1
ENSP00000263277	ENSG00000024422	EHD2
ENSP00000263278	ENSG00000087076	HSD17B14
ENSP00000263281	ENSG00000010310	GIPR
ENSP00000263284	ENSG00000104983	CCDC61
ENSP00000263309	ENSG00000074201	CLNS1A
ENSP00000263314	ENSG00000109991	P2RX3
ENSP00000263317	ENSG00000086991	NOX4
ENSP00000263321	ENSG00000077498	TYR
ENSP00000263326	ENSG00000125571	IL37
ENSP00000263331	ENSG00000125630	POLR1B
ENSP00000263339	ENSG00000115008	IL1A
ENSP00000263341	ENSG00000125538	IL1B
ENSP00000263346	ENSG00000141002	TCF25
ENSP00000263354	ENSG00000105402	NAPA
ENSP00000263360	ENSG00000074266	EED
ENSP00000263368	ENSG00000090013	BLVRB
ENSP00000263369	ENSG00000167578	MIA
ENSP00000263369	ENSG00000167578	RAB4B
ENSP00000263370	ENSG00000086544	ITPKC
ENSP00000263372	ENSG00000099337	KCNK6
ENSP00000263373	ENSG00000160460	SPTBN4
ENSP00000263377	ENSG00000141867	BRD4
ENSP00000263379	ENSG00000104998	IL27RA
ENSP00000263381	ENSG00000011451	WIZ
ENSP00000263382	ENSG00000105011	ASF1B
ENSP00000263383	ENSG00000105135	ILVBL
ENSP00000263384	ENSG00000105058	FAM32A
ENSP00000263388	ENSG00000074181	NOTCH3
ENSP00000263390	ENSG00000105085	MED26
ENSP00000263401	ENSG00000110442	COMMD9
ENSP00000263408	ENSG00000113600	C9
ENSP00000263409	ENSG00000113594	LIFR
ENSP00000263413	ENSG00000039537	C6
ENSP00000263431	ENSG00000126583	PRKCG
ENSP00000263433	ENSG00000125503	PPP1R12C
ENSP00000263437	ENSG00000022556	NLRP2
ENSP00000263461	ENSG00000120008	WDR11
ENSP00000263464	ENSG00000023445	BIRC3
ENSP00000263468	ENSG00000110318	KIAA1377
ENSP00000263498	ENSG00000157191	NECAP2
ENSP00000263512	ENSG00000126903	SLC10A3
ENSP00000263519	ENSG00000067842	ATP2B3
ENSP00000263525	ENSG00000116147	TNR
ENSP00000263549	ENSG00000059378	PARP12
ENSP00000263552	ENSG00000059377	TBXAS1
ENSP00000263556	ENSG00000122884	P4HA1
ENSP00000263559	ENSG00000122958	VPS26A
ENSP00000263563	ENSG00000107719	KIAA1274
ENSP00000263574	ENSG00000084234	APLP2
ENSP00000263576	ENSG00000109832	DDX25
ENSP00000263577	ENSG00000064309	CDON
ENSP00000263578	ENSG00000110074	FOXRED1
ENSP00000263579	ENSG00000110063	DCPS
ENSP00000263593	ENSG00000110013	SIAE
ENSP00000263598	ENSG00000160349	LCN1
ENSP00000263610	ENSG00000125492	BARHL1
ENSP00000263620	ENSG00000116017	ARID3A
ENSP00000263621	ENSG00000197561	ELANE
ENSP00000263629	ENSG00000085760	MTIF2
ENSP00000263634	ENSG00000115239	ASB3
ENSP00000263635	ENSG00000115183	TANC1
ENSP00000263636	ENSG00000054219	LY75
ENSP00000263640	ENSG00000115170	ACVR1
ENSP00000263642	ENSG00000115267	IFIH1
ENSP00000263645	ENSG00000110651	CD81
ENSP00000263650	ENSG00000021762	OSBPL5
ENSP00000263655	ENSG00000119865	CNRIP1
ENSP00000263657	ENSG00000115946	PNO1
ENSP00000263663	ENSG00000115750	TAF1B
ENSP00000263665	ENSG00000113805	CNTN3
ENSP00000263666	ENSG00000121440	PDZRN3
ENSP00000263671	ENSG00000054938	CHRDL2
ENSP00000263672	ENSG00000118363	SPCS2
ENSP00000263674	ENSG00000110237	ARHGEF17
ENSP00000263681	ENSG00000077514	POLD3
ENSP00000263686	ENSG00000174175	SELP
ENSP00000263688	ENSG00000094975	C1orf9
ENSP00000263693	ENSG00000084628	NKAIN1
ENSP00000263694	ENSG00000060688	SNRNP40
ENSP00000263697	ENSG00000126698	DNAJC8
ENSP00000263702	ENSG00000116353	MECR
ENSP00000263707	ENSG00000115112	TFCP2L1
ENSP00000263708	ENSG00000088179	PTPN4
ENSP00000263710	ENSG00000074054	CLASP1
ENSP00000263713	ENSG00000115109	EPB41L5
ENSP00000263726	ENSG00000121454	LHX4
ENSP00000263733	ENSG00000116199	FAM20B
ENSP00000263734	ENSG00000116016	EPAS1
ENSP00000263735	ENSG00000119888	EPCAM
ENSP00000263736	ENSG00000068784	SRBD1
ENSP00000263753	ENSG00000129810	SGOL1
ENSP00000263754	ENSG00000114166	KAT2B
ENSP00000263765	ENSG00000019485	PRDM11
ENSP00000263773	ENSG00000109920	FNBP4
ENSP00000263774	ENSG00000213619	NDUFS3
ENSP00000263776	ENSG00000110455	ACCS
ENSP00000263780	ENSG00000083937	CHMP2B
ENSP00000263791	ENSG00000128829	EIF2AK4
ENSP00000263795	ENSG00000092470	WDR76
ENSP00000263798	ENSG00000092445	TYRO3
ENSP00000263800	ENSG00000062524	LTK
ENSP00000263805	ENSG00000103994	ZFP106
ENSP00000263816	ENSG00000081479	LRP2
ENSP00000263817	ENSG00000073734	ABCB11
ENSP00000263826	ENSG00000117020	AKT3
ENSP00000263846	ENSG00000011347	SYT7
ENSP00000263847	ENSG00000110048	OSBP
ENSP00000263849	ENSG00000104427	FAM164A
ENSP00000263851	ENSG00000104432	IL7
ENSP00000263856	ENSG00000115561	CHMP3
ENSP00000263857	ENSG00000068654	POLR1A
ENSP00000263863	ENSG00000115523	GNLY
ENSP00000263864	ENSG00000118640	VAMP8
ENSP00000263867	ENSG00000042493	CAPG
ENSP00000263881	ENSG00000011566	MAP4K3
ENSP00000263895	ENSG00000115963	RND3
ENSP00000263897	ENSG00000053501	USE1
ENSP00000263904	ENSG00000115145	STAM2
ENSP00000263915	ENSG00000115290	GRB14
ENSP00000263918	ENSG00000115808	STRN
ENSP00000263921	ENSG00000109220	CHIC2
ENSP00000263923	ENSG00000128052	KDR
ENSP00000263925	ENSG00000072201	LNX1
ENSP00000263932	ENSG00000120949	TNFRSF8
ENSP00000263934	ENSG00000054523	KIF1B
ENSP00000263946	ENSG00000081277	PKP1
ENSP00000263955	ENSG00000081320	STK17B
ENSP00000263956	ENSG00000119041	GTF3C3
ENSP00000263960	ENSG00000115520	COQ10B
ENSP00000263966	ENSG00000058056	USP13
ENSP00000263967	ENSG00000121879	PIK3CA
ENSP00000263969	ENSG00000171109	MFN1
ENSP00000263974	ENSG00000120656	TAF12
ENSP00000263980	ENSG00000090020	SLC9A1
ENSP00000263985	ENSG00000059691	PET112
ENSP00000263991	ENSG00000115504	EHBP1
ENSP00000263997	ENSG00000103061	SLC7A6OS
ENSP00000264001	ENSG00000217555	CKLF
ENSP00000264005	ENSG00000213398	LCAT
ENSP00000264009	ENSG00000102878	HSF4
ENSP00000264010	ENSG00000102974	CTCF
ENSP00000264012	ENSG00000062038	CDH3
ENSP00000264018	ENSG00000110367	DDX6
ENSP00000264020	ENSG00000118096	IFT46
ENSP00000264025	ENSG00000110400	PVRL1
ENSP00000264027	ENSG00000109929	SC5DL
ENSP00000264028	ENSG00000095139	ARCN1
ENSP00000264029	ENSG00000118094	TREH
ENSP00000264031	ENSG00000110375	UPK2
ENSP00000264033	ENSG00000110395	CBL
ENSP00000264036	ENSG00000076706	MCAM
ENSP00000264037	ENSG00000109927	TECTA
ENSP00000264039	ENSG00000063660	GPC1
ENSP00000264042	ENSG00000006607	FARP2
ENSP00000264047	ENSG00000115665	SLC5A7
ENSP00000264051	ENSG00000066248	NGEF
ENSP00000264057	ENSG00000077044	DGKD
ENSP00000264059	ENSG00000115468	EFHD1
ENSP00000264065	ENSG00000077232	DNAJC10
ENSP00000264071	ENSG00000104833	TUBB4A
ENSP00000264072	ENSG00000104921	FCER2
ENSP00000264079	ENSG00000090674	MCOLN1
ENSP00000264080	ENSG00000125734	GPR108
ENSP00000264093	ENSG00000114956	DGUOK
ENSP00000264094	ENSG00000115318	LOXL3
ENSP00000264108	ENSG00000128708	HAT1
ENSP00000264110	ENSG00000115966	ATF2
ENSP00000264122	ENSG00000114423	CBLB
ENSP00000264126	ENSG00000121957	GPSM2
ENSP00000264128	ENSG00000085491	SLC25A24
ENSP00000264144	ENSG00000058085	LAMC2
ENSP00000264151	ENSG00000128694	OSGEPL1
ENSP00000264156	ENSG00000076003	MCM6
ENSP00000264157	ENSG00000082258	CCNT2
ENSP00000264158	ENSG00000115839	RAB3GAP1
ENSP00000264159	ENSG00000121988	ZRANB3
ENSP00000264160	ENSG00000048991	R3HDM1
ENSP00000264161	ENSG00000115866	DARS
ENSP00000264162	ENSG00000115850	LCT
ENSP00000264167	ENSG00000018510	AGPS
ENSP00000264169	ENSG00000115947	ORC4
ENSP00000264170	ENSG00000115919	KYNU
ENSP00000264183	ENSG00000054267	ARID4B
ENSP00000264187	ENSG00000116962	NID1
ENSP00000264192	ENSG00000115165	CYTIP
ENSP00000264193	ENSG00000080819	CPOX
ENSP00000264198	ENSG00000090432	MUL1
ENSP00000264211	ENSG00000075151	EIF4G3
ENSP00000264218	ENSG00000109255	NMU
ENSP00000264220	ENSG00000128059	PPAT
ENSP00000264228	ENSG00000128039	SRD5A3
ENSP00000264229	ENSG00000109265	KIAA1211
ENSP00000264230	ENSG00000084092	C4orf14
ENSP00000264231	ENSG00000121577	POPDC2
ENSP00000264233	ENSG00000051341	POLQ
